sound_sample_name,sample,form,geol,hit_number,sample_name,sample_number,sound_sample_name_simple,sound_number,f1_ini,a1_ini,f1_0,a1_0,f1_n,a1_n
M_pt_b3_1,M,pt,b3,1,S20,20,S20_1,1,4571.00,0.37,4462.00,0.72,3491.38,4.81
M_pt_b3_2,M,pt,b3,2,S20,20,S20_2,2,4571.00,0.37,4462.00,0.72,3491.38,4.81
M_pt_b3_3,M,pt,b3,3,S20,20,S20_3,3,4571.00,0.37,4462.00,0.72,3491.38,4.81
M_pt_b4_1,M,pt,b4,1,S21,21,S21_1,1,4823.93,0.45,4706.27,0.69,4718.77,0.63
M_pt_b4_2,M,pt,b4,2,S21,21,S21_2,2,4823.93,0.45,4706.27,0.69,4718.77,0.63
M_pt_b4_3,M,pt,b4,3,S21,21,S21_3,3,4823.93,0.45,4706.27,0.69,4718.77,0.63
M_pt_c2_1,M,pt,c2,1,S22,22,S22_1,1,6597.00,0.33,6472.00,0.50,6511.47,0.74
M_pt_c2_2,M,pt,c2,2,S22,22,S22_2,2,6597.00,0.33,6472.00,0.50,6511.47,0.74
M_pt_c2_3,M,pt,c2,3,S22,22,S22_3,3,6597.00,0.33,6472.00,0.50,6511.47,0.74
M_pt_c3_1,M,pt,c3,1,S23,23,S23_1,1,6197.00,0.38,6073.00,0.55,6062.19,0.56
M_pt_c3_2,M,pt,c3,2,S23,23,S23_2,2,6197.00,0.38,6073.00,0.55,6062.19,0.56
M_pt_c3_3,M,pt,c3,3,S23,23,S23_3,3,6197.00,0.38,6073.00,0.55,6062.19,0.56
M_pt_c4_1,M,pt,c4,1,S24,24,S24_1,1,6406.00,0.44,6305.00,0.57,6332.15,1.16
M_pt_c4_2,M,pt,c4,2,S24,24,S24_2,2,6406.00,0.44,6305.00,0.57,6332.15,1.16
M_pt_c4_3,M,pt,c4,3,S24,24,S24_3,3,6406.00,0.44,6305.00,0.57,6332.15,1.16
S_pl_a_1,S,pl,a,1,S25,25,S25_1,1,2384.19,0.31,2219.00,0.66,1990.17,1.15
S_pl_a_2,S,pl,a,2,S25,25,S25_2,2,2384.19,0.31,2219.00,0.66,1990.17,1.15
S_pl_a_3,S,pl,a,3,S25,25,S25_3,3,2384.19,0.31,2219.00,0.66,1990.17,1.15
S_pl_a_4,S,pl,a,4,S25,25,S25_4,4,2384.19,0.31,2219.00,0.66,1990.17,1.15
S_pl_a_5,S,pl,a,5,S25,25,S25_5,5,2384.19,0.31,2219.00,0.66,1990.17,1.15
S_pl_a_6,S,pl,a,6,S25,25,S25_6,6,2384.19,0.31,2219.00,0.66,1990.17,1.15
S_pl_a_7,S,pl,a,7,S25,25,S25_7,7,2384.19,0.31,2219.00,0.66,1990.17,1.15
S_pl_a_8,S,pl,a,8,S25,25,S25_8,8,2384.19,0.31,2219.00,0.66,1990.17,1.15
S_pl_a_9,S,pl,a,9,S25,25,S25_9,9,2384.19,0.31,2219.00,0.66,1990.17,1.15
S_pl_d_1,S,pl,d,1,S26,26,S26_1,1,3740.00,0.25,3329.00,0.77,3119.23,1.15
S_pl_d_2,S,pl,d,2,S26,26,S26_2,2,3740.00,0.25,3329.00,0.77,3119.23,1.15
S_pl_d_3,S,pl,d,3,S26,26,S26_3,3,3740.00,0.25,3329.00,0.77,3119.23,1.15
S_pl_d_4,S,pl,d,4,S26,26,S26_4,4,3740.00,0.25,3329.00,0.77,3119.23,1.15
S_pl_d_5,S,pl,d,5,S26,26,S26_5,5,3740.00,0.25,3329.00,0.77,3119.23,1.15
S_pl_d_6,S,pl,d,6,S26,26,S26_6,6,3740.00,0.25,3329.00,0.77,3119.23,1.15
S_pl_d_7,S,pl,d,7,S26,26,S26_7,7,3740.00,0.25,3329.00,0.77,3119.23,1.15
S_pl_d_8,S,pl,d,8,S26,26,S26_8,8,3740.00,0.25,3329.00,0.77,3119.23,1.15
S_pl_d_9,S,pl,d,9,S26,26,S26_9,9,3740.00,0.25,3329.00,0.77,3119.23,1.15
S_pt_d2_1,S,pt,d2,1,S27,27,S27_1,1,9348.00,0.60,8630.00,1.47,4537.75,4.96
S_pt_d2_2,S,pt,d2,2,S27,27,S27_2,2,9348.00,0.60,8630.00,1.47,4537.75,4.96
S_pt_d2_3,S,pt,d2,3,S27,27,S27_3,3,9348.00,0.60,8630.00,1.47,4537.75,4.96
S_pt_d3_1,S,pt,d1,1,S28,28,S28_1,1,8478.00,0.95,7892.00,1.42,5652.56,6.90
S_pt_d3_2,S,pt,d2,2,S28,28,S28_2,2,8478.00,0.95,7892.00,1.42,5652.56,6.90
S_pt_d3_3,S,pt,d3,3,S28,28,S28_3,3,8478.00,0.95,7892.00,1.42,5652.56,6.90
S_pt_d4_1,S,pt,d4,1,S29,29,S29_1,1,9207.00,0.90,8621.00,1.07,4549.12,2.33
S_pt_d4_2,S,pt,d4,2,S29,29,S29_2,2,9207.00,0.90,8621.00,1.07,4549.12,2.33
S_pt_d4_3,S,pt,d4,3,S29,29,S29_3,3,9207.00,0.90,8621.00,1.07,4549.12,2.33
LG_pl_a_1,LG,pl,a,1,S30,30,S30_1,1,3271.00,0.29,3203.00,0.36,3191.23,0.39
LG_pl_a_2,LG,pl,a,2,S30,30,S30_2,2,3271.00,0.29,3203.00,0.36,3191.23,0.39
LG_pl_a_3,LG,pl,a,3,S30,30,S30_3,3,3271.00,0.29,3203.00,0.36,3191.23,0.39
LG_pl_a_4,LG,pl,a,4,S30,30,S30_4,4,3271.00,0.29,3203.00,0.36,3191.23,0.39
LG_pl_a_5,LG,pl,a,5,S30,30,S30_5,5,3271.00,0.29,3203.00,0.36,3191.23,0.39
LG_pl_a_6,LG,pl,a,6,S30,30,S30_6,6,3271.00,0.29,3203.00,0.36,3191.23,0.39
LG_pl_a_7,LG,pl,a,7,S30,30,S30_7,7,3271.00,0.29,3203.00,0.36,3191.23,0.39
LG_pl_a_8,LG,pl,a,8,S30,30,S30_8,8,3271.00,0.29,3203.00,0.36,3191.23,0.39
LG_pl_a_9,LG,pl,a,9,S30,30,S30_9,9,3271.00,0.29,3203.00,0.36,3191.23,0.39
P_pl_a_1,P,pl,a,1,S31,31,S31_1,1,3020.00,0.43,2943.00,0.39,2854.71,0.37
P_pl_a_2,P,pl,a,2,S31,31,S31_2,2,3020.00,0.43,2943.00,0.39,2854.71,0.37
P_pl_a_3,P,pl,a,3,S31,31,S31_3,3,3020.00,0.43,2943.00,0.39,2854.71,0.37
P_pl_a_4,P,pl,a,4,S31,31,S31_4,4,3020.00,0.43,2943.00,0.39,2854.71,0.37
P_pl_a_5,P,pl,a,5,S31,31,S31_5,5,3020.00,0.43,2943.00,0.39,2854.71,0.37
P_pl_a_6,P,pl,a,6,S31,31,S31_6,6,3020.00,0.43,2943.00,0.39,2854.71,0.37
P_pl_a_7,P,pl,a,7,S31,31,S31_7,7,3020.00,0.43,2943.00,0.39,2854.71,0.37
P_pl_a_8,P,pl,a,8,S31,31,S31_8,8,3020.00,0.43,2943.00,0.39,2854.71,0.37
P_pl_a_9,P,pl,a,9,S31,31,S31_9,9,3020.00,0.43,2943.00,0.39,2854.71,0.37
